candidate,threshold,k,n,eligible,tp,fp,fn,tn,precision,recall,f1,predicted_incidents,true_positive_predicted_incidents,false_positive_predicted_incidents,true_fault_episodes,detected_fault_episodes,incident_precision,episode_recall,incident_f1,false_alert_incidents_per_station_day,observed_station_days,median_detection_latency_minutes,p90_detection_latency_minutes,rows,stations,fault_rows,weather_rows,fault_auprc,brier_score,ece_10_bin,weather_rows_flagged_as_fault,weather_false_fault_rate,persistence_k,persistence_n
tcn,0.5,2,3,True,1,1,431,60168,0.5,0.0023148148148148147,0.004608294930875576,1,1,0,38,1,1.0,0.02631578947368421,0.05128205128205127,0.0,2452,30.0,30.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.5,3,5,False,0,0,432,60169,0.0,0.0,0.0,0,0,0,38,0,0.0,0.0,0.0,0.0,2452,,,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.52,1,1,True,5,0,427,60169,1.0,0.011574074074074073,0.022883295194508005,4,4,0,38,4,1.0,0.10526315789473684,0.1904761904761905,0.0,2452,0.0,0.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.52,2,3,True,1,1,431,60168,0.5,0.0023148148148148147,0.004608294930875576,1,1,0,38,1,1.0,0.02631578947368421,0.05128205128205127,0.0,2452,30.0,30.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.52,3,5,False,0,0,432,60169,0.0,0.0,0.0,0,0,0,38,0,0.0,0.0,0.0,0.0,2452,,,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.54,1,1,True,5,0,427,60169,1.0,0.011574074074074073,0.022883295194508005,4,4,0,38,4,1.0,0.10526315789473684,0.1904761904761905,0.0,2452,0.0,0.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.54,2,3,True,1,1,431,60168,0.5,0.0023148148148148147,0.004608294930875576,1,1,0,38,1,1.0,0.02631578947368421,0.05128205128205127,0.0,2452,30.0,30.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.54,3,5,False,0,0,432,60169,0.0,0.0,0.0,0,0,0,38,0,0.0,0.0,0.0,0.0,2452,,,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.56,1,1,True,5,0,427,60169,1.0,0.011574074074074073,0.022883295194508005,4,4,0,38,4,1.0,0.10526315789473684,0.1904761904761905,0.0,2452,0.0,0.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.56,2,3,True,1,1,431,60168,0.5,0.0023148148148148147,0.004608294930875576,1,1,0,38,1,1.0,0.02631578947368421,0.05128205128205127,0.0,2452,30.0,30.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.56,3,5,False,0,0,432,60169,0.0,0.0,0.0,0,0,0,38,0,0.0,0.0,0.0,0.0,2452,,,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.5800000000000001,1,1,True,5,0,427,60169,1.0,0.011574074074074073,0.022883295194508005,4,4,0,38,4,1.0,0.10526315789473684,0.1904761904761905,0.0,2452,0.0,0.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.5800000000000001,2,3,True,1,1,431,60168,0.5,0.0023148148148148147,0.004608294930875576,1,1,0,38,1,1.0,0.02631578947368421,0.05128205128205127,0.0,2452,30.0,30.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
tcn,0.5800000000000001,3,5,False,0,0,432,60169,0.0,0.0,0.0,0,0,0,38,0,0.0,0.0,0.0,0.0,2452,,,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,3,5
tcn,0.6,1,1,True,5,0,427,60169,1.0,0.011574074074074073,0.022883295194508005,4,4,0,38,4,1.0,0.10526315789473684,0.1904761904761905,0.0,2452,0.0,0.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,1,1
tcn,0.6,2,3,True,1,1,431,60168,0.5,0.0023148148148148147,0.004608294930875576,1,1,0,38,1,1.0,0.02631578947368421,0.05128205128205127,0.0,2452,30.0,30.0,60601,20,432,160,0.5130858120005825,0.00627084095120661,0.0022091327968645183,0,0.0,2,3
